Year,State,Region,Number of People by Medicare-Medicaid Enrollment Type,Number of People,Number of People with FFS,Number of Females with FFS,Number of Males with FFS,A%_<40,A%_40-64,A%_65-84,A%_85+,F%,M%,White%,AfrA%,His%,Asian%,Indig%,Unknown%,ha%,af%,hf%,dm%,hc%,hyp%,ihd%,strokeorTIA%,obesity%,pad%,Number of FFS people who used Medicare procedures,Number of FFS people who used Medicare imaging services,Number of FFS people who used Medicare laboratory/testing services,Number of FFS people who used Medicare durable medical equipment,Number of people who used Medicare Part D prescription drugs,Total Medicare payments,Total Medicare IP Hospital FFS payments,Total Medicare Other IP Hospital FFS payments,Total Medicare Part B drug FFS payments,Total Medicare procedure FFS payments,Total Medicare imaging FFS payments,Total Medicare durable medical equipment FFS payments,Total Medicare Part D prescription drug FFS costs (total RX cost),Number of FFS people who used Medicaid lab/xray services,Number of FFS people who used Medicaid durable medical equipment services,Number of FFS people who used Medicaid drugs,Number of FFS people who used Medicaid clinic services,Total Medicaid FFS payments,Total Medicaid lab/xray FFS payments,Total Medicaid durable medical equipment FFS payments,Total Medicaid drug FFS payments,Total Medicaid clinic payments
2006,SD,Midwest,Partial Benefit,6128,6045,3649,2396,0.0632,0.336,0.497,0.103,0.604,0.396,0.864,0.0067,0.0028,0.0108,0.113,0.0033,0.0119,0.0529,0.177,0.268,0.246,0.419,0.24,0.0276,0.0768,0.0682,3145,4012,4387,2204,4988,57837258,15876495,1382127,1255105,2446879,985124,2137090,11971112,1701,136,221,1082,5014656,108007,32098,131808,278486
2006,SD,Midwest,Medicare Only,113163,105669,57786,47883,0.0066,0.0724,0.78,0.141,0.537,0.463,0.964,0.0021,0.0024,0.0034,0.0238,0.0045,0.0085,0.0646,0.133,0.178,0.291,0.421,0.237,0.023,0.0277,0.0562,60961,71140,80003,28332,58049,641799045,214838273,2741517,20776892,44102380,18361094,18808677,47264670,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,SD,Midwest,Medicaid Only (Disability),8643,171,76,95,0.618,0.379,NaN,NaN,0.483,0.517,0.571,0.0123,NaN,NaN,0.222,0.189,NaN,NaN,NaN,0.0936,NaN,0.146,0.0877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5384,3753,5927,3251,109245124,4375279,4960594,19368697,7529773
2006,TN,Southeast,Full Benefit,213963,191963,113823,78140,0.108,0.419,0.377,0.0962,0.589,0.411,0.756,0.224,0.0068,0.0071,0.0009,0.005,0.0122,0.0524,0.244,0.328,0.319,0.576,0.334,0.0658,0.0815,0.111,112752,140841,152177,81061,196522,3116448657,753517775,62725082,44183844,86041079,52125120,97595117,735717665,26026,13175,21118,27463,1614332442,9942950,20942915,26989870,9915706
2006,TN,Southeast,Partial Benefit,65705,65692,42245,23447,0.0231,0.237,0.653,0.0873,0.643,0.357,0.807,0.18,0.0034,0.0058,0.0009,0.0033,0.0116,0.053,0.193,0.293,0.328,0.526,0.315,0.0369,0.0517,0.0909,33254,41258,47012,24663,58281,743953392,178782637,7373097,13708322,25659304,15345282,26683058,162968574,2226,752,1927,2794,8070253,243096,1102828,884261,690639
2006,TN,Southeast,Medicare Only,716089,584531,320890,263641,0.0055,0.101,0.787,0.107,0.543,0.457,0.908,0.0799,0.0033,0.004,0.0004,0.0042,0.0092,0.0688,0.14,0.22,0.366,0.516,0.287,0.038,0.025,0.0706,351342,406259,468356,164602,294121,4743352401,1320334413,35934011,150484652,255841252,143519235,121073440,336797118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,TN,Southeast,Medicaid Only (Disability),166590,2385,1227,1158,0.563,0.431,NaN,NaN,0.493,0.507,0.52,0.277,0.0097,0.0054,0.0014,0.0001,NaN,0.0055,0.0398,0.0847,0.0394,0.0981,0.0704,0.0075,0.0285,0.0109,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,109339,40066,124527,31790,1206382185,109219083,65781763,295020563,22988097
2006,TX,Southwest,Full Benefit,366793,352214,230326,121888,0.0792,0.216,0.543,0.163,0.654,0.346,0.356,0.175,0.0477,0.415,0.0018,0.0046,0.0122,0.0588,0.308,0.389,0.352,0.632,0.388,0.0893,0.0761,0.233,207787,250844,280993,144410,335903,6645614317,1457227744,79341833,99522463,194507474,126270327,158760207,1131012607,20769,114789,198730,3127,3725825006,8189220,136376336,69639932,1091987
2006,TX,Southwest,Partial Benefit,188094,187922,114787,73135,0.0384,0.281,0.603,0.0781,0.611,0.389,0.391,0.203,0.0106,0.391,0.0021,0.003,0.0093,0.0402,0.204,0.332,0.345,0.538,0.317,0.041,0.0762,0.114,88298,113955,122105,67827,160041,2648141959,608855685,30252667,43950098,99434475,58714240,77746505,359598709,1063,1329,2450,281,33392973,411859,606030,1317128,92101
2006,TX,Southwest,Medicare Only,2198993,1862206,997761,864445,0.0121,0.106,0.779,0.103,0.529,0.471,0.764,0.0854,0.0103,0.134,0.0015,0.005,0.0083,0.0654,0.159,0.219,0.373,0.497,0.306,0.0396,0.0341,0.088,1086189,1248957,1416897,489383,809060,16791861081,4530624410,140631422,526695844,1002377081,630964540,412065820,867999290,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,TX,Southwest,Medicaid Only (Disability),342629,207344,98742,108598,0.563,0.433,NaN,NaN,0.491,0.509,0.29,0.258,0.0136,0.315,0.0034,0.0002,0.004,0.0054,0.0597,0.128,0.054,0.137,0.0735,0.0168,0.0284,0.0175,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,238765,141371,270584,39319,3159068870,189989885,186353102,785696221,18718870
2006,UT,West,Full Benefit,25182,24328,14697,9631,0.163,0.359,0.38,0.098,0.606,0.394,0.778,0.0149,0.0482,0.111,0.0298,0.0175,0.0043,0.0394,0.186,0.257,0.189,0.35,0.185,0.0407,0.0579,0.112,13265,14503,15019,7371,22678,318711855,54553587,6603365,4280780,9597922,3690235,8937116,97244392,8162,6761,14660,8911,265189263,1738854,4163932,7774919,8285320
2006,UT,West,Partial Benefit,3186,3158,1785,1373,0.0967,0.327,0.494,0.0825,0.568,0.432,0.85,0.0182,0.0223,0.0782,0.0213,0.0104,NaN,0.0374,0.153,0.215,0.165,0.293,0.174,0.0218,0.0386,0.0541,1335,1512,1600,833,2456,28673537,5627484,394352,523638,1024981,390448,938934,6240485,340,234,440,392,3690248,74669,100385,247551,308948
2006,UT,West,Medicare Only,228088,186723,101348,85375,0.0111,0.0769,0.792,0.12,0.533,0.467,0.946,0.004,0.0114,0.0294,0.0028,0.0066,0.006,0.0672,0.146,0.197,0.254,0.363,0.23,0.0307,0.0206,0.0586,116636,118084,130071,52115,88445,1398818368,354710469,4244636,39579232,93047014,34064806,48531067,81408132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,UT,West,Medicaid Only (Disability),19746,13801,7588,6213,0.589,0.409,NaN,NaN,0.528,0.472,0.812,0.0251,0.0224,0.001,0.0327,0.0996,0.0008,0.0062,0.0349,0.0806,0.0371,0.0696,0.0375,0.0096,0.0142,0.0081,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9505,5918,16031,9840,240105098,13228180,9447362,65098667,11197806
2006,VA,Northeast,Full Benefit,115144,115056,75711,39345,0.107,0.279,0.455,0.159,0.658,0.342,0.544,0.359,0.0615,0.0259,0.001,0.0086,0.0135,0.0653,0.243,0.344,0.305,0.595,0.288,0.0907,0.0818,0.131,62741,78313,86431,40196,105603,1642578998,451974899,30826106,24561514,45333144,23156982,39793387,388306122,12243,15807,74890,7543,1378601599,4515611,12780839,25950762,47480473
2006,VA,Northeast,Partial Benefit,46420,46418,27756,18662,0.0618,0.392,0.484,0.0621,0.598,0.402,0.634,0.334,0.0132,0.0135,0.0009,0.0047,0.0103,0.0492,0.178,0.328,0.348,0.56,0.278,0.0369,0.0875,0.0808,23777,30292,35053,16878,40149,479741764,138155688,8346976,8927670,18838933,9116666,16447291,99589261,1088,433,2030,320,21425442,568548,165828,1165412,328779
2006,VA,Northeast,Medicare Only,904640,806301,445880,360421,0.0117,0.114,0.764,0.111,0.545,0.455,0.821,0.144,0.0153,0.0113,0.0004,0.0079,0.0086,0.0721,0.131,0.231,0.39,0.517,0.262,0.0362,0.0322,0.0669,478034,542393,640747,205883,316430,5460024230,1779205545,33142526,195338239,362936993,179589288,142020963,335547791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,VA,Northeast,Medicaid Only (Disability),87558,37856,18778,19077,0.534,0.456,NaN,NaN,0.523,0.477,0.508,0.454,0.0155,0.0173,0.0013,0.0009,0.0058,0.0103,0.068,0.131,0.0648,0.182,0.0808,0.0281,0.0366,0.0202,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64108,20645,69197,19219,699635982,49010721,25487348,129138767,37851242
2006,VT,Northeast,Full Benefit,18597,18459,11323,7136,0.136,0.34,0.373,0.151,0.613,0.387,0.967,0.0066,0.0066,0.0076,0.002,0.0105,0.0123,0.0637,0.173,0.255,0.25,0.399,0.234,0.0468,0.084,0.0886,8923,11512,11314,5840,16463,223256105,56416808,4868293,2375990,5828062,2092457,4950797,62406476,11526,5960,14545,4256,274210010,3425611,3743156,12771706,1011200
2006,VT,Northeast,Partial Benefit,7979,7977,5022,2955,0.0211,0.19,0.628,0.161,0.63,0.37,0.983,0.003,NaN,0.0049,NaN,0.0056,0.014,0.0791,0.154,0.274,0.372,0.526,0.291,0.0292,0.0567,0.0801,4087,5398,5644,2492,7399,73243084,21443498,634067,821629,2739948,1025030,1636142,18342536,1188,516,7036,499,9445414,311820,118440,6752144,79380
2006,VT,Northeast,Medicare Only,77207,71738,38121,33617,0.0072,0.0867,0.79,0.116,0.523,0.477,0.981,0.0023,0.0031,0.0047,0.0003,0.0084,0.0088,0.0784,0.108,0.182,0.326,0.432,0.228,0.0276,0.0287,0.0553,38980,46476,47665,14333,25290,438312104,157643647,1605021,9652337,26284593,9540854,8385686,24729226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,VT,Northeast,Medicaid Only (Disability),9522,3144,1478,1666,0.585,0.411,NaN,NaN,0.527,0.473,0.775,0.0103,0.0027,0.003,NaN,NaN,NaN,0.0083,0.0289,0.0722,0.0458,0.069,0.0413,0.0108,0.0312,0.0092,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6933,2618,8210,2708,140936074,5963228,3635214,30741218,1925544
2006,WA,West,Full Benefit,109532,100112,61175,38937,0.113,0.305,0.422,0.16,0.619,0.381,0.736,0.0516,0.112,0.0632,0.0214,0.0167,0.0099,0.0654,0.213,0.285,0.245,0.43,0.217,0.0495,0.0648,0.141,54575,67279,75101,37147,98521,1491585284,371180846,30153687,23250643,41986882,25152172,35096906,365124135,10317,49092,89092,6392,1313230912,2586153,42035006,31756824,1581098
2006,WA,West,Partial Benefit,31013,27625,15001,12624,0.09,0.422,0.441,0.0469,0.565,0.435,0.817,0.0584,0.0377,0.0532,0.0231,0.0108,0.0062,0.0388,0.109,0.218,0.243,0.35,0.163,0.0186,0.0551,0.0493,11862,16125,17988,7645,24593,254796576,59624796,5484227,4012610,9197186,5895921,5884801,63850929,1127,1595,5422,880,15974325,364685,309817,2024090,136848
2006,WA,West,Medicare Only,746496,568323,301787,266536,0.0078,0.0909,0.77,0.131,0.53,0.47,0.921,0.0183,0.0252,0.017,0.0075,0.0106,0.0071,0.078,0.123,0.184,0.317,0.402,0.217,0.03,0.022,0.069,317148,362745,406046,134424,268488,4584768714,1225295534,23750522,121546345,261469479,154902271,85207310,226578995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,WA,West,Medicaid Only (Disability),105691,194,107,87,0.488,0.508,NaN,NaN,0.511,0.489,0.69,0.0885,0.0431,0.038,NaN,NaN,NaN,NaN,NaN,0.124,0.0825,0.165,0.0979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74178,44152,88257,12936,1064487136,52640529,55140342,272649790,9067947
2006,WI,Midwest,Full Benefit,124613,121889,75447,46442,0.13,0.339,0.337,0.195,0.621,0.379,0.814,0.114,0.0203,0.0332,0.0113,0.0069,0.01,0.0649,0.217,0.269,0.239,0.444,0.243,0.0423,0.0999,0.157,68122,78370,86376,39128,113492,1677393251,420345425,28048926,26737877,44785667,19896673,32385747,467774270,69879,48540,73262,81460,1656479026,5569138,22098341,25250426,16213451
2006,WI,Midwest,Partial Benefit,13838,13830,8535,5295,0.0422,0.265,0.593,0.0997,0.617,0.383,0.85,0.0976,0.0062,0.0259,0.0157,0.0043,0.0084,0.0492,0.141,0.233,0.272,0.4,0.226,0.0225,0.0758,0.0696,5935,7663,8393,3868,10195,118572414,32454686,1748430,2174586,4356495,2022944,2711376,22814864,3018,752,5720,3622,10247006,224209,120569,3500441,716069
2006,WI,Midwest,Medicare Only,740548,620529,347431,273098,0.0064,0.0746,0.787,0.132,0.547,0.453,0.956,0.0238,0.0036,0.0083,0.004,0.0045,0.0082,0.0754,0.131,0.201,0.343,0.451,0.254,0.0259,0.0409,0.0796,341643,401430,455672,152760,233288,4532225410,1439374907,16186093,131715086,252828894,112240877,84193757,200585076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,WI,Midwest,Medicaid Only (Disability),77441,65786,30723,35063,0.629,0.365,NaN,NaN,0.485,0.515,0.1,0.0271,0.0028,0.0047,0.0019,0.0025,0.0024,0.0058,0.0359,0.094,0.062,0.11,0.0463,0.0116,0.0491,0.0123,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50027,32938,63049,49483,667550314,16120158,26598792,150665969,39737240
2006,WV,Southeast,Full Benefit,45478,45461,27348,18113,0.142,0.32,0.404,0.133,0.602,0.398,0.944,0.0418,0.0038,0.0039,0.0007,0.0055,0.015,0.0646,0.248,0.324,0.335,0.544,0.344,0.0586,0.0762,0.148,24748,31229,31709,16815,41292,626337399,172508881,11016491,6026051,17426167,9546557,17695280,155528473,20950,14503,21816,12455,621396223,3149160,4227380,8569347,3738466
2006,WV,Southeast,Partial Benefit,26853,26851,15027,11824,0.0753,0.4,0.478,0.0474,0.56,0.44,0.953,0.0391,0.0013,0.0032,0.0005,0.0032,0.0122,0.0479,0.174,0.314,0.414,0.551,0.333,0.0317,0.0713,0.0866,13556,18598,19449,10266,22538,262851307,80972163,3939552,3285245,11017304,5922990,10639367,57690582,7477,5187,1405,4497,15591546,959665,769722,1174447,659565
2006,WV,Southeast,Medicare Only,305843,267122,137917,129205,0.011,0.17,0.716,0.103,0.513,0.487,0.968,0.0226,0.0022,0.0029,0.0003,0.0046,0.0108,0.0652,0.146,0.256,0.433,0.547,0.323,0.034,0.032,0.0817,146812,179398,197878,75438,102789,1921693084,683890505,10033426,40807456,114146815,57090183,56074614,115028734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,WV,Southeast,Medicaid Only (Disability),70127,67911,35777,32134,0.463,0.536,NaN,NaN,0.526,0.474,0.959,0.0393,0.0004,NaN,0.0003,NaN,0.0059,0.0089,0.0554,0.164,0.165,0.239,0.13,0.0139,0.0485,0.0258,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52347,18669,60876,24354,553514064,36468854,14235535,217414031,13873358
2006,WY,West,Full Benefit,6461,6456,4102,2354,0.148,0.298,0.361,0.193,0.635,0.365,0.863,0.0102,0.005,0.0659,0.0471,0.0091,0.0108,0.0589,0.257,0.257,0.149,0.402,0.239,0.0519,0.0657,0.172,3618,4058,3866,2186,5790,84035749,22860569,787091,647924,2566293,1064612,3203463,22305683,3944,3102,2763,622,157257187,6149710,3588222,1465414,525662
2006,WY,West,Partial Benefit,2949,2949,1797,1152,0.0488,0.356,0.537,0.0576,0.609,0.391,0.864,0.0129,NaN,0.077,0.0376,NaN,0.0092,0.0417,0.136,0.242,0.209,0.363,0.222,NaN,0.0654,0.0583,1486,1819,1787,1085,2303,26444432,8454806,506157,444925,1350317,585752,1418231,5316746,1015,715,53,181,6278770,2121434,658219,32053,36850
2006,WY,West,Medicare Only,66634,61975,32329,29646,0.0082,0.0868,0.794,0.111,0.513,0.487,0.944,0.0046,0.0035,0.0337,0.0081,0.0059,0.0071,0.0535,0.12,0.166,0.216,0.346,0.221,0.0239,0.0253,0.0626,35412,38195,38999,16782,26545,389872191,143991649,1492212,10034612,30222476,12486178,17812579,22889781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,WY,West,Medicaid Only (Disability),5104,5104,2779,2325,0.604,0.394,NaN,NaN,0.544,0.456,0.805,0.0212,NaN,NaN,0.0625,0.0588,0.0027,0.0045,0.0357,0.096,0.0361,0.0792,0.0472,0.008,0.03,0.0061,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3469,1718,4102,1391,78273021,3026492,3334723,14802769,2531252
2007,National,NaN,Full Benefit,6778156,6188679,3858010,2330669,0.0979,0.289,0.462,0.152,0.626,0.374,0.567,0.193,0.0666,0.152,0.0094,0.0125,0.011,0.0598,0.24,0.334,0.318,0.547,0.322,0.0652,0.0812,0.171,3508636,4165708,4520105,2211312,6160663,111735392091,26510815632,2104132915,1473912791,3048752422,1627662781,2397135373,24379926822,2477631,2153028,3421053,1171469,89364682991,453037471,1254362551,1163996593,777733633
2007,National,NaN,Partial Benefit,1972933,1951325,1192438,758887,0.0528,0.329,0.537,0.0813,0.612,0.388,0.64,0.217,0.0143,0.116,0.0065,0.0059,0.0083,0.0409,0.154,0.268,0.296,0.451,0.257,0.0308,0.0675,0.0833,827043,1058293,1143064,592848,1719453,24783295395,5157115097,322272797,365418778,757741989,395545284,635529016,5197252242,324236,158538,82997,130635,1093292764,80910519,58536903,50639306,41181228
2007,National,NaN,Medicare Only,37943550,27683059,15074893,12608164,0.0097,0.102,0.765,0.123,0.54,0.46,0.833,0.0754,0.0172,0.0618,0.0032,0.0098,0.0085,0.0757,0.144,0.23,0.405,0.514,0.3,0.0361,0.034,0.0923,16640280,18779244,20950371,7220031,15992510,278470451240,70456751302,1569851014,7204170581,14666771105,7351831165,5309137257,18271923373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2007,National,NaN,Medicaid Only (Disability),5321332,2415559,1178419,1237033,0.534,0.458,NaN,NaN,0.499,0.501,0.456,0.27,0.0245,0.0848,0.0107,0.026,0.004,0.0078,0.0572,0.129,0.0698,0.167,0.0824,0.0173,0.0405,0.019,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3234704,1772777,3853335,1305543,67144246838,2025539332,1680664983,12591372371,1389553963
2007,AK,West,Full Benefit,13219,13217,7410,5807,0.114,0.337,0.463,0.0858,0.561,0.439,0.509,0.0418,0.0828,0.0394,0.313,0.0141,0.0058,0.0456,0.152,0.245,0.222,0.415,0.191,0.0294,0.0878,0.0506,5782,7991,7799,4249,11396,182621140,59456985,2584941,3061512,5146988,2396178,3816387,54177716,7983,7253,3864,5376,240933585,1801002,5937069,2469882,4406661
2007,AK,West,Partial Benefit,319,318,170,148,NaN,NaN,0.677,0.0502,0.536,0.464,0.599,NaN,NaN,NaN,0.323,NaN,NaN,0.0566,0.135,0.198,0.239,0.399,0.217,NaN,0.0912,NaN,138,189,184,68,210,3362110,1322047,NaN,61371,142062,63897,38459,593036,24,15,NaN,11,117442,6878,19149,NaN,3487
2007,AK,West,Medicare Only,46336,41493,20319,21174,0.0094,0.0996,0.815,0.0762,0.482,0.518,0.803,0.0231,0.0203,0.0166,0.124,0.0129,0.0067,0.0652,0.0992,0.178,0.262,0.376,0.195,0.0209,0.0355,0.0431,19197,24377,25904,7404,8815,262535946,115357697,767231,6358822,17017848,7922986,4745988,12766322,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2007,AK,West,Medicaid Only (Disability),8835,8835,4438,4397,0.498,0.486,NaN,NaN,0.502,0.498,0.518,0.061,0.0759,NaN,0.285,NaN,0.0024,0.0071,0.0337,0.104,0.052,0.114,0.0447,0.0113,0.0293,0.0052,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5972,4125,7027,3563,245485589,7474330,7221503,39711059,8197116
2007,AL,Southeast,Full Benefit,96861,88311,59614,28697,0.125,0.312,0.407,0.157,0.679,0.321,0.537,0.445,0.0071,0.006,0.0011,0.0038,0.0102,0.0555,0.25,0.325,0.25,0.581,0.272,0.0755,0.072,0.127,49782,61368,66390,32156,89355,1384036377,307058283,32773294,25516133,34511937,18814697,29737808,288844749,51570,21507,46421,14670,1182103757,9763552,3369227,10664272,15416064
2007,AL,Southeast,Partial Benefit,104735,101795,66884,34911,0.0449,0.315,0.538,0.102,0.659,0.341,0.63,0.36,0.0021,0.0046,0.0009,0.0022,0.0085,0.0468,0.173,0.26,0.273,0.486,0.25,0.0377,0.0507,0.077,45914,55696,61025,32031,95007,1336908194,261052585,13439117,22956576,38572247,20529892,30631409,259827166,24769,4238,1579,6498,55467403,5114572,606038,847702,5741562
2007,AL,Southeast,Medicare Only,627345,521143,278138,243005,0.0154,0.164,0.727,0.0936,0.525,0.475,0.826,0.163,0.0025,0.004,0.0007,0.0037,0.0081,0.0693,0.153,0.249,0.404,0.559,0.297,0.0416,0.0309,0.0774,331117,371757,416051,159646,241324,4467699391,1267668984,35768325,162472827,265269614,137504499,118237258,310730203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2007,AL,Southeast,Medicaid Only (Disability),112922,11709,5807,5902,0.576,0.416,NaN,NaN,0.517,0.483,0.388,0.497,0.0032,0.0002,0.0019,0.0047,0.0041,0.0073,0.0582,0.102,0.0547,0.193,0.0705,0.0242,0.028,0.0145,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79106,34533,93518,31403,783187169,45333106,16651172,257596692,22802768
2007,AR,Southeast,Full Benefit,72823,72470,48389,24081,0.114,0.269,0.433,0.185,0.667,0.333,0.698,0.272,0.0079,0.0132,0.0045,0.0045,0.0132,0.0654,0.276,0.304,0.231,0.563,0.328,0.0839,0.0697,0.137,37125,49155,54429,27779,65236,1069799656,273742044,33078965,18578995,27904606,13476643,32835991,225976402,51227,35038,29042,13998,1181395436,67047073,27485830,14576684,19492335
2007,AR,Southeast,Partial Benefit,44880,44558,26009,18549,0.0672,0.429,0.448,0.0555,0.583,0.417,0.755,0.223,0.003,0.0111,0.0057,0.003,0.009,0.0433,0.176,0.271,0.267,0.486,0.303,0.0353,0.0673,0.0798,21423,27848,31125,15941,39439,472894639,115576515,7124176,10651369,18158669,9027997,17428988,112860010,16786,6017,3221,3997,116158938,23257532,7581408,755439,465121
2007,AR,Southeast,Medicare Only,405033,353722,187699,166023,0.0133,0.152,0.735,0.0992,0.52,0.48,0.906,0.0776,0.0028,0.0062,0.0032,0.0037,0.0086,0.0649,0.14,0.204,0.327,0.477,0.303,0.0373,0.0269,0.0702,205615,239323,273342,99761,177338,2623450162,779590603,26421138,98552915,160117138,76258550,78645698,214943877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2007,AR,Southeast,Medicaid Only (Disability),72815,15851,7112,8739,0.632,0.366,NaN,NaN,0.491,0.509,0.438,0.261,0.017,0.0087,NaN,NaN,0.004,0.0081,0.0524,0.0784,0.0218,0.111,0.0594,0.0184,0.0139,0.0129,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48800,30987,60461,27284,877741810,31306318,30775104,160097258,77736881
2007,AZ,Southwest,Full Benefit,115040,64129,36836,27293,0.117,0.313,0.457,0.112,0.603,0.397,0.539,0.0583,0.0271,0.27,0.0984,0.0076,0.0107,0.043,0.16,0.296,0.244,0.442,0.235,0.048,0.0752,0.0935,29944,39214,39703,18668,99747,1673776383,255724726,15210773,13294618,31134085,16329403,18457462,278133097,73235,36774,47705,18634,77350298,5524043,3259290,475853,298087
2007,AZ,Southwest,Partial Benefit,32648,31429,19704,11725,0.026,0.248,0.613,0.113,0.628,0.372,0.719,0.0398,0.0096,0.184,0.0425,0.0054,0.0038,0.0174,0.0609,0.131,0.119,0.187,0.119,0.0129,0.0271,0.0335,5485,7031,7466,3283,27873,377068697,36040808,2260138,1829210,5126483,2953003,3271176,63218863,2359,966,876,612,5133394,1068639,408355,11354,33840
2007,AZ,Southwest,Medicare Only,731981,464824,242569,222255,0.0081,0.0966,0.784,0.111,0.524,0.476,0.873,0.0206,0.0092,0.077,0.0134,0.0066,0.0075,0.0717,0.114,0.187,0.383,0.46,0.269,0.0335,0.0306,0.0805,286900,312547,350814,107058,337302,5406471501,1147712824,18301647,118840459,281112625,157615833,86111286,320691483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2007,AZ,Southwest,Medicaid Only (Disability),83104,14808,7022,7786,0.606,0.374,NaN,NaN,0.486,0.514,0.404,0.0845,NaN,0.213,0.107,NaN,0.0043,0.0099,0.0548,0.165,0.0585,0.174,0.0689,0.0209,0.0433,0.0169,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50358,28176,57197,22321,211972694,21862895,6677903,4472989,365436
2007,CA,West,Full Benefit,1125650,876454,494867,381587,0.0614,0.23,0.59,0.118,0.585,0.415,0.363,0.097,0.205,0.312,0.0058,0.0165,0.0085,0.0482,0.208,0.35,0.376,0.561,0.326,0.0509,0.0739,0.152,542044,650337,740555,335115,1014006,16441745878,3912661094,247275443,253811867,556082483,298567104,380298677,3575284360,176590,360660,656882,210001,9110540830,14607309,113020839,220636969,187498558
2007,CA,West,Partial Benefit,27064,26569,16459,10110,0.0256,0.199,0.641,0.134,0.621,0.379,0.49,0.0962,0.123,0.271,0.0045,0.0157,0.0035,0.0206,0.0865,0.157,0.152,0.227,0.138,0.0189,0.033,0.0483,5470,6960,8044,3513,22440,331384255,46187517,3614649,2647458,5523200,2858853,3872568,54312543,953,1445,3158,1261,38140122,60740,366571,647569,1034588
2007,CA,West,Medicare Only,3426605,1839709,981184,858525,0.0062,0.0829,0.774,0.136,0.539,0.461,0.739,0.0535,0.0627,0.125,0.003,0.0173,0.0063,0.0728,0.137,0.196,0.376,0.453,0.267,0.0351,0.0311,0.0772,1064791,1153798,1284266,374565,1791062,27364359750,4809165582,103680023,491950684,1101043957,540890947,280855473,1643750786,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2007,CA,West,Medicaid Only (Disability),648201,5480,2886,2594,0.444,0.54,NaN,NaN,0.501,0.499,0.341,0.186,0.0999,0.222,0.0074,0.0002,0.0033,0.0088,0.0577,0.114,0.0464,0.136,0.0619,0.019,0.021,0.0093,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,413788,292687,488577,201574,8523797127,179238353,159940530,1743566606,289477447
2007,CO,West,Full Benefit,59955,43185,26747,16438,0.0956,0.271,0.455,0.178,0.637,0.363,0.641,0.0629,0.0436,0.234,0.0067,0.0114,0.0081,0.057,0.213,0.271,0.227,0.445,0.23,0.0467,0.0735,0.104,24492,32014,34204,18709,53720,895070215,158764628,10538801,8584802,19807869,8909706,25622763,208142872,24180,27067,14412,36063,910096490,4190429,33081108,8815191,12112064
